customer_id,age,tenure_months,num_products,avg_order_value_eur,support_tickets_90d,days_since_last_order,region,event_date,churn_label
CUST-000050,47,32,1,21.88,3,176,DACH,2026-03-29,1
CUST-000051,70,88,1,198.61,5,133,EE,2026-04-06,1
CUST-000052,59,111,1,146.46,1,70,BENELUX,2026-04-14,0
CUST-000053,31,24,1,202.78,3,76,IBERIA,2026-04-11,0
CUST-000054,36,114,5,222.19,8,125,EE,2026-03-30,1
CUST-000055,57,68,11,55.21,8,49,IBERIA,2026-04-11,0
CUST-000056,49,77,3,48.4,0,147,NORDIC,2026-03-23,0
CUST-000057,41,70,9,237.19,2,175,NORDIC,2026-04-10,1
CUST-000058,57,41,2,225.12,1,54,IBERIA,2026-03-27,0
CUST-000059,51,4,3,197.89,3,79,BENELUX,2026-04-08,0
CUST-000060,31,64,9,181.95,8,143,BENELUX,2026-04-09,1
CUST-000061,33,113,9,18.99,3,37,NORDIC,2026-03-30,0
CUST-000062,46,31,6,136.93,6,65,IBERIA,2026-04-08,0
CUST-000063,45,116,12,127.7,4,132,NORDIC,2026-04-18,1
CUST-000064,67,51,2,45.61,3,125,IBERIA,2026-04-14,1
CUST-000065,40,14,3,150.14,7,85,IBERIA,2026-04-09,0
CUST-000066,40,5,9,85.95,1,66,EE,2026-04-18,0
CUST-000067,69,15,2,101.92,4,64,BENELUX,2026-04-04,0
CUST-000068,62,15,7,224.52,4,54,DACH,2026-04-08,0
CUST-000069,24,69,5,105.87,6,30,DACH,2026-03-25,0
CUST-000070,23,26,9,157.77,6,19,IBERIA,2026-03-29,0
CUST-000071,39,96,6,181.67,0,85,NORDIC,2026-04-09,0
CUST-000072,65,45,7,132.68,4,44,BENELUX,2026-04-09,0
CUST-000073,49,65,8,36.03,4,59,NORDIC,2026-03-27,0
CUST-000074,69,4,11,79.08,3,74,NORDIC,2026-04-13,0
CUST-000075,44,44,7,21.74,5,172,BENELUX,2026-04-21,1
CUST-000076,56,109,7,166.22,1,23,BENELUX,2026-04-17,0
CUST-000077,51,64,7,202.96,2,56,IBERIA,2026-03-23,0
CUST-000078,24,35,11,216.44,2,176,IBERIA,2026-03-29,1
CUST-000079,69,112,9,69.46,3,99,NORDIC,2026-03-31,1
CUST-000080,38,101,11,163.27,0,148,DACH,2026-03-27,0
CUST-000081,19,75,12,157.07,3,66,DACH,2026-04-08,0
CUST-000082,52,88,2,31.36,5,8,IBERIA,2026-03-27,0
CUST-000083,33,89,5,206.81,4,4,NORDIC,2026-04-04,0
CUST-000084,70,35,8,22.97,3,121,IBERIA,2026-04-16,1
CUST-000085,39,104,12,170.27,7,146,NORDIC,2026-03-24,1
CUST-000086,69,91,3,154.56,1,78,NORDIC,2026-04-13,0
CUST-000087,54,37,6,84.01,6,109,DACH,2026-03-29,1
CUST-000088,62,97,6,213.51,7,178,BENELUX,2026-04-06,1
CUST-000089,18,44,1,41.38,2,128,DACH,2026-04-01,0
CUST-000090,37,58,8,151.28,3,69,NORDIC,2026-03-30,0
CUST-000091,29,97,4,88.56,5,149,DACH,2026-03-26,1
CUST-000092,32,53,3,114.3,3,141,EE,2026-04-02,1
CUST-000093,61,63,1,27.46,1,175,IBERIA,2026-04-21,1
CUST-000094,26,60,11,182.34,8,26,NORDIC,2026-04-01,0
CUST-000095,43,84,2,188.34,5,114,BENELUX,2026-04-20,1
CUST-000096,37,110,9,81.23,4,144,NORDIC,2026-04-16,1
CUST-000097,63,81,6,196.85,3,80,EE,2026-04-15,0
CUST-000098,28,82,11,140.69,3,123,IBERIA,2026-03-30,1
CUST-000099,49,46,10,248.47,6,168,DACH,2026-03-31,1
CUST-000100,44,27,6,103.91,0,35,IBERIA,2026-03-22,0
CUST-000101,70,92,2,95.28,7,24,EE,2026-04-17,0
CUST-000102,47,114,1,173.65,1,134,EE,2026-03-27,0
CUST-000103,64,77,1,129.59,4,18,EE,2026-04-18,0
CUST-000104,22,15,5,234.25,6,30,NORDIC,2026-04-13,0
CUST-000105,55,49,9,71.66,1,26,EE,2026-04-07,0
CUST-000106,64,47,5,220.18,4,44,IBERIA,2026-04-15,0
CUST-000107,72,94,11,194.86,8,139,BENELUX,2026-04-14,1
CUST-000108,53,64,11,212.11,7,74,IBERIA,2026-04-07,0
CUST-000109,53,1,9,223.52,0,120,BENELUX,2026-04-11,0
CUST-000110,24,32,3,35.34,2,85,EE,2026-03-26,0
CUST-000111,66,4,3,110.45,8,41,EE,2026-04-03,0
CUST-000112,43,8,7,186.08,6,170,BENELUX,2026-04-04,1
CUST-000113,53,56,4,209.79,5,52,NORDIC,2026-04-07,0
CUST-000114,43,9,11,139.45,6,78,DACH,2026-03-28,0
CUST-000115,30,92,11,248.35,0,3,IBERIA,2026-04-21,0
CUST-000116,20,107,4,129.54,0,114,DACH,2026-04-05,0
CUST-000117,63,81,12,194.47,8,106,EE,2026-04-14,1
CUST-000118,69,22,12,23.25,0,127,EE,2026-04-14,0
CUST-000119,56,35,3,173.0,8,69,IBERIA,2026-04-06,0
CUST-000120,46,93,7,234.45,4,138,BENELUX,2026-04-02,1
CUST-000121,72,53,8,202.63,5,15,NORDIC,2026-03-27,0
CUST-000122,46,44,3,115.36,6,81,IBERIA,2026-04-10,0
CUST-000123,67,87,10,134.81,4,22,EE,2026-04-18,0
CUST-000124,48,58,10,97.25,4,127,DACH,2026-04-15,1
CUST-000125,66,40,3,29.34,5,33,IBERIA,2026-04-16,0
CUST-000126,31,51,3,213.6,3,14,IBERIA,2026-03-31,0
CUST-000127,28,116,6,238.82,4,88,BENELUX,2026-04-14,0
CUST-000128,66,2,5,197.25,0,118,DACH,2026-03-29,0
CUST-000129,23,49,7,136.01,3,85,BENELUX,2026-04-01,0
CUST-000130,43,20,12,127.47,4,119,DACH,2026-04-17,1
CUST-000131,48,44,11,150.06,8,51,DACH,2026-04-20,0
CUST-000132,43,93,12,232.17,5,53,IBERIA,2026-04-02,0
CUST-000133,26,120,8,117.1,3,49,BENELUX,2026-04-13,0
CUST-000134,40,17,12,109.05,2,136,EE,2026-04-14,0
CUST-000135,49,60,11,56.53,2,56,NORDIC,2026-03-28,0
CUST-000136,20,75,4,205.32,3,26,IBERIA,2026-03-26,0
CUST-000137,52,99,12,152.25,0,1,BENELUX,2026-04-01,0
CUST-000138,31,27,12,119.75,4,8,NORDIC,2026-04-15,0
CUST-000139,61,25,2,163.57,3,50,EE,2026-03-24,0
CUST-000140,52,104,5,101.27,8,53,DACH,2026-04-17,0
CUST-000141,58,47,1,78.3,7,140,BENELUX,2026-04-07,1
CUST-000142,58,13,6,191.89,8,164,DACH,2026-04-06,1
CUST-000143,19,54,11,162.53,6,138,NORDIC,2026-04-10,1
CUST-000144,37,109,12,210.51,5,78,BENELUX,2026-04-18,0
CUST-000145,62,48,9,201.01,7,170,IBERIA,2026-04-02,1
CUST-000146,36,86,1,90.95,2,111,BENELUX,2026-04-01,0
CUST-000147,59,106,10,115.73,7,50,EE,2026-04-10,0
CUST-000148,64,79,3,138.65,3,67,EE,2026-04-15,0
CUST-000149,56,82,8,159.19,0,56,EE,2026-04-07,0
CUST-000150,61,117,4,33.87,8,55,NORDIC,2026-04-21,0
CUST-000151,56,31,9,102.92,2,24,EE,2026-03-26,0
CUST-000152,69,87,6,198.15,6,88,DACH,2026-04-17,0
CUST-000153,45,43,7,221.07,0,101,EE,2026-04-09,0
CUST-000154,59,82,8,67.44,0,103,NORDIC,2026-04-06,0
CUST-000155,37,54,10,150.59,7,23,EE,2026-04-08,0
CUST-000156,55,32,6,185.17,2,143,DACH,2026-03-24,0
CUST-000157,51,94,6,58.52,0,59,BENELUX,2026-03-25,0
CUST-000158,27,61,2,91.43,6,43,EE,2026-03-28,0
CUST-000159,46,52,5,63.38,3,173,IBERIA,2026-04-14,1
CUST-000160,39,77,10,82.92,4,157,BENELUX,2026-04-04,1
CUST-000161,68,73,12,82.21,5,82,NORDIC,2026-04-08,0
CUST-000162,22,100,8,28.68,5,50,IBERIA,2026-04-15,0
CUST-000163,65,5,2,18.69,0,38,BENELUX,2026-03-29,0
CUST-000164,42,104,11,103.37,7,52,BENELUX,2026-04-10,0
CUST-000165,68,95,8,63.15,6,168,BENELUX,2026-04-16,1
CUST-000166,50,94,8,77.95,3,72,BENELUX,2026-04-02,0
CUST-000167,43,9,1,202.27,6,170,EE,2026-04-18,1
CUST-000168,53,5,9,116.23,0,77,DACH,2026-03-29,0
CUST-000169,44,57,5,86.49,3,39,IBERIA,2026-03-28,0
CUST-000170,58,99,12,61.46,8,146,IBERIA,2026-04-05,1
CUST-000171,35,46,2,128.82,5,161,IBERIA,2026-03-27,1
CUST-000172,30,8,8,37.73,0,153,IBERIA,2026-04-12,1
CUST-000173,53,118,2,18.4,5,163,NORDIC,2026-03-28,1
CUST-000174,44,63,7,240.91,3,69,NORDIC,2026-04-13,0
CUST-000175,62,118,4,141.79,7,54,EE,2026-03-24,0
CUST-000176,50,8,10,22.05,5,33,NORDIC,2026-04-09,0
CUST-000177,53,56,4,118.98,5,22,NORDIC,2026-03-29,0
CUST-000178,55,58,9,231.75,7,23,EE,2026-04-05,0
CUST-000179,33,31,5,98.37,7,70,EE,2026-03-26,0
CUST-000180,57,52,4,133.29,8,81,IBERIA,2026-04-16,0
CUST-000181,27,96,4,25.59,5,14,EE,2026-04-01,0
CUST-000182,43,76,10,238.78,6,71,BENELUX,2026-04-13,0
CUST-000183,67,120,4,99.2,3,76,EE,2026-04-09,0
CUST-000184,25,77,3,207.75,5,45,NORDIC,2026-04-09,0
CUST-000185,46,5,2,16.2,3,129,EE,2026-04-20,1
CUST-000186,44,27,10,83.32,5,79,IBERIA,2026-04-21,0
CUST-000187,69,116,1,64.8,4,150,IBERIA,2026-04-13,1
CUST-000188,45,57,12,229.78,4,117,DACH,2026-03-31,1
CUST-000189,23,95,3,56.69,1,109,NORDIC,2026-04-20,0
CUST-000190,70,97,11,110.19,3,147,NORDIC,2026-04-10,1
CUST-000191,63,71,12,31.48,6,128,EE,2026-03-24,1
CUST-000192,68,82,5,43.82,0,10,EE,2026-04-02,0
CUST-000193,41,29,3,213.59,3,55,IBERIA,2026-03-30,0
CUST-000194,24,92,4,136.17,6,0,NORDIC,2026-03-29,0
CUST-000195,55,1,6,199.56,0,42,IBERIA,2026-04-15,0
CUST-000196,24,102,1,31.12,8,2,NORDIC,2026-03-27,0
CUST-000197,52,46,2,229.13,7,24,EE,2026-04-20,0
CUST-000198,36,50,10,148.52,1,153,EE,2026-04-18,1
CUST-000199,68,25,12,102.81,6,160,NORDIC,2026-04-11,1
CUST-000200,70,16,12,205.47,1,171,BENELUX,2026-03-26,1
CUST-000201,46,119,2,132.89,6,136,IBERIA,2026-04-19,1
CUST-000202,18,62,11,88.13,0,137,BENELUX,2026-04-02,0
CUST-000203,66,109,9,228.18,3,41,NORDIC,2026-04-21,0
CUST-000204,45,63,2,51.12,1,153,EE,2026-04-14,1
CUST-000205,66,27,4,80.67,2,19,NORDIC,2026-04-16,0
CUST-000206,67,18,5,24.72,0,144,DACH,2026-03-22,0
CUST-000207,61,106,2,234.86,3,122,IBERIA,2026-04-06,1
CUST-000208,40,47,7,51.31,8,142,IBERIA,2026-04-13,1
CUST-000209,43,70,2,31.05,0,99,BENELUX,2026-03-24,0
CUST-000210,59,54,4,230.45,2,8,IBERIA,2026-04-03,0
CUST-000211,45,107,6,130.24,5,18,DACH,2026-04-16,0
CUST-000212,45,15,1,210.39,1,141,DACH,2026-04-04,0
CUST-000213,64,11,3,217.91,1,170,BENELUX,2026-03-25,1
CUST-000214,21,87,3,91.27,3,50,EE,2026-03-25,0
CUST-000215,55,96,12,230.08,8,126,DACH,2026-04-08,1
CUST-000216,25,101,5,206.75,2,56,NORDIC,2026-04-02,0
CUST-000217,62,56,9,179.75,8,168,DACH,2026-03-25,1
CUST-000218,24,3,10,194.25,6,162,EE,2026-04-20,1
CUST-000219,40,37,3,35.93,5,7,BENELUX,2026-03-28,0
CUST-000220,18,7,9,43.77,3,108,NORDIC,2026-03-28,1
CUST-000221,34,14,5,190.57,8,3,IBERIA,2026-03-26,0
CUST-000222,22,6,12,158.62,8,179,DACH,2026-04-13,1
CUST-000223,35,5,7,147.52,8,60,NORDIC,2026-04-13,0
CUST-000224,70,73,7,17.72,5,7,NORDIC,2026-03-26,0
CUST-000225,44,117,3,177.69,8,8,IBERIA,2026-04-13,0
CUST-000226,56,44,9,66.8,6,110,EE,2026-04-01,1
CUST-000227,59,70,1,129.47,5,146,BENELUX,2026-04-02,1
CUST-000228,27,36,11,160.38,1,78,DACH,2026-04-12,0
CUST-000229,59,80,8,228.3,5,116,BENELUX,2026-04-11,1
CUST-000230,66,109,11,140.4,3,172,IBERIA,2026-04-09,1
CUST-000231,23,97,10,204.5,6,154,BENELUX,2026-04-20,1
CUST-000232,49,13,3,138.24,6,73,IBERIA,2026-04-18,0
CUST-000233,63,61,7,224.17,4,172,NORDIC,2026-04-03,1
CUST-000234,68,117,11,106.04,0,34,EE,2026-03-27,0
CUST-000235,25,58,7,105.93,6,21,EE,2026-04-09,0
CUST-000236,37,56,10,137.69,0,48,NORDIC,2026-03-27,0
CUST-000237,58,52,11,112.07,8,152,DACH,2026-04-18,1
CUST-000238,28,51,8,190.31,5,96,NORDIC,2026-04-20,1
CUST-000239,70,21,8,238.67,1,93,BENELUX,2026-04-19,0
CUST-000240,27,92,5,57.14,2,82,BENELUX,2026-04-11,0
CUST-000241,71,20,1,15.16,5,99,NORDIC,2026-03-29,1
CUST-000242,37,108,10,106.76,8,158,DACH,2026-04-07,1
CUST-000243,72,24,1,94.77,1,92,BENELUX,2026-04-21,0
CUST-000244,39,81,4,195.36,5,58,BENELUX,2026-03-29,0
CUST-000245,41,16,7,18.91,8,69,EE,2026-03-22,0
CUST-000246,60,107,3,71.91,3,73,BENELUX,2026-03-29,0
CUST-000247,56,92,2,222.54,1,1,EE,2026-04-13,0
CUST-000248,64,118,2,201.31,4,57,NORDIC,2026-03-23,0
CUST-000249,19,90,9,232.66,1,71,IBERIA,2026-04-05,0
CUST-000250,69,29,4,175.01,4,177,IBERIA,2026-03-24,1
CUST-000251,66,107,9,50.51,7,151,NORDIC,2026-04-20,1
CUST-000252,25,97,7,233.67,2,24,BENELUX,2026-04-14,0
CUST-000253,57,12,10,218.38,3,125,EE,2026-04-19,1
CUST-000254,18,65,1,203.94,1,167,EE,2026-04-09,1
CUST-000255,44,20,6,248.43,4,41,EE,2026-03-28,0
CUST-000256,61,79,6,99.98,6,55,IBERIA,2026-04-07,0
CUST-000257,44,37,4,195.29,5,32,NORDIC,2026-04-05,0
CUST-000258,30,67,12,192.93,8,36,IBERIA,2026-03-26,0
CUST-000259,37,81,5,190.74,2,80,BENELUX,2026-04-01,0
CUST-000260,25,42,2,226.26,3,83,EE,2026-03-31,0
CUST-000261,19,72,6,25.82,2,141,BENELUX,2026-04-13,0
CUST-000262,53,44,12,138.9,5,58,EE,2026-03-22,0
CUST-000263,34,61,8,108.22,2,1,IBERIA,2026-04-09,0
CUST-000264,52,118,3,141.97,6,11,IBERIA,2026-04-12,0
CUST-000265,23,42,12,171.3,8,114,DACH,2026-04-01,1
CUST-000266,22,61,11,212.86,5,53,BENELUX,2026-03-30,0
CUST-000267,41,117,10,59.55,6,142,NORDIC,2026-03-28,1
CUST-000268,26,97,2,169.31,2,101,DACH,2026-04-06,0
CUST-000269,34,108,5,66.67,4,21,DACH,2026-04-21,0
CUST-000270,35,104,5,98.53,6,20,EE,2026-03-27,0
CUST-000271,40,112,12,123.42,6,78,NORDIC,2026-03-23,0
CUST-000272,56,27,10,214.79,3,17,DACH,2026-03-27,0
CUST-000273,32,16,4,223.47,5,58,EE,2026-03-23,0
CUST-000274,45,58,10,124.84,2,159,DACH,2026-04-21,1
CUST-000275,68,97,11,86.09,0,52,NORDIC,2026-04-12,0
CUST-000276,65,77,12,142.54,7,93,NORDIC,2026-03-26,1
CUST-000277,22,71,12,139.71,6,160,EE,2026-04-19,1
CUST-000278,43,108,1,237.78,7,131,BENELUX,2026-04-18,1
CUST-000279,56,47,5,66.08,2,127,IBERIA,2026-03-23,0
CUST-000280,49,29,5,152.09,8,32,DACH,2026-03-22,0
CUST-000281,25,118,3,54.33,3,54,BENELUX,2026-03-25,0
CUST-000282,53,78,1,233.39,5,67,IBERIA,2026-04-21,0
CUST-000283,61,38,2,245.42,7,52,EE,2026-04-15,0
CUST-000284,47,103,5,123.06,6,142,IBERIA,2026-04-13,1
CUST-000285,32,1,7,105.47,7,4,NORDIC,2026-04-09,0
CUST-000286,46,2,7,241.14,0,172,BENELUX,2026-04-16,1
CUST-000287,25,110,3,200.04,8,39,EE,2026-04-17,0
CUST-000288,44,16,9,53.78,3,128,EE,2026-03-27,1
CUST-000289,45,34,5,181.45,7,34,BENELUX,2026-04-02,0
CUST-000290,37,27,12,198.12,3,2,EE,2026-03-26,0
CUST-000291,66,56,1,226.52,2,169,IBERIA,2026-03-31,1
CUST-000292,52,51,6,247.3,0,69,DACH,2026-04-16,0
CUST-000293,34,26,4,249.63,4,167,EE,2026-03-27,1
CUST-000294,53,94,2,41.43,4,148,EE,2026-03-31,1
CUST-000295,24,40,3,242.21,6,89,BENELUX,2026-04-18,0
CUST-000296,47,4,9,175.31,6,60,IBERIA,2026-03-28,0
CUST-000297,53,91,12,185.56,0,78,BENELUX,2026-03-27,0
CUST-000298,51,49,2,34.54,4,160,IBERIA,2026-03-29,1
CUST-000299,65,44,9,204.52,5,92,NORDIC,2026-04-03,1
CUST-000300,22,120,10,72.98,4,42,EE,2026-03-28,0
CUST-000301,66,26,7,60.45,1,53,IBERIA,2026-04-11,0
CUST-000302,49,74,7,123.38,7,45,EE,2026-04-06,0
CUST-000303,54,61,4,99.8,7,93,EE,2026-04-08,1
CUST-000304,23,10,8,75.35,3,79,EE,2026-04-19,0
CUST-000305,67,75,9,20.52,5,56,EE,2026-04-01,0
CUST-000306,45,70,8,215.91,4,45,BENELUX,2026-04-15,0
CUST-000307,69,78,8,214.63,0,173,DACH,2026-04-10,1
CUST-000308,24,111,2,34.27,0,8,EE,2026-04-18,0
CUST-000309,18,43,5,81.52,4,134,BENELUX,2026-04-08,1
CUST-000310,28,33,2,76.46,7,158,EE,2026-04-02,1
CUST-000311,64,2,9,238.42,1,0,DACH,2026-03-27,0
CUST-000312,70,120,8,180.44,6,64,DACH,2026-04-12,0
CUST-000313,48,108,4,139.62,1,87,DACH,2026-04-09,0
CUST-000314,60,59,4,105.97,6,118,BENELUX,2026-04-20,1
CUST-000315,20,75,3,193.99,6,30,IBERIA,2026-04-16,0
CUST-000316,61,56,3,28.43,4,57,EE,2026-03-27,0
CUST-000317,35,50,6,160.8,7,40,IBERIA,2026-04-18,0
CUST-000318,61,86,8,160.24,5,92,BENELUX,2026-03-28,1
CUST-000319,18,113,2,42.17,7,119,NORDIC,2026-04-12,1
CUST-000320,61,87,8,63.31,1,119,BENELUX,2026-03-29,0
CUST-000321,70,108,10,114.64,6,1,NORDIC,2026-04-08,0
CUST-000322,52,66,11,176.36,8,176,IBERIA,2026-03-28,1
CUST-000323,39,9,11,157.16,0,134,BENELUX,2026-03-22,0
CUST-000324,48,45,10,83.93,8,96,BENELUX,2026-03-22,1
CUST-000325,35,90,5,222.66,3,105,DACH,2026-04-16,1
CUST-000326,49,49,7,212.31,3,38,IBERIA,2026-03-24,0
CUST-000327,43,103,5,187.8,5,152,EE,2026-04-07,1
CUST-000328,57,84,5,207.52,6,98,NORDIC,2026-04-07,1
CUST-000329,40,96,11,205.14,1,89,BENELUX,2026-04-13,0
CUST-000330,38,110,11,23.48,7,64,BENELUX,2026-04-13,0
CUST-000331,46,4,8,54.87,5,61,DACH,2026-04-04,0
CUST-000332,71,93,12,138.19,4,173,IBERIA,2026-04-11,1
CUST-000333,57,113,5,93.2,3,164,DACH,2026-04-14,1
CUST-000334,53,57,1,196.61,5,71,IBERIA,2026-04-05,0
CUST-000335,52,1,4,61.7,5,58,EE,2026-04-10,0
CUST-000336,30,119,3,184.57,6,148,DACH,2026-04-14,1
CUST-000337,65,53,9,25.08,6,77,NORDIC,2026-03-27,0
CUST-000338,32,100,8,64.12,0,121,NORDIC,2026-04-19,0
CUST-000339,31,46,3,205.53,0,98,NORDIC,2026-03-26,0
CUST-000340,20,4,12,221.67,5,26,IBERIA,2026-04-10,0
CUST-000341,46,67,11,151.63,3,136,BENELUX,2026-04-15,1
CUST-000342,47,115,5,167.21,4,101,NORDIC,2026-03-30,1
CUST-000343,65,101,1,73.19,6,110,BENELUX,2026-03-24,1
CUST-000344,57,63,8,77.14,3,146,NORDIC,2026-04-02,1
CUST-000345,36,19,2,27.54,0,147,DACH,2026-04-21,0
CUST-000346,20,23,8,203.98,7,111,DACH,2026-03-31,1
CUST-000347,43,112,5,244.53,5,29,NORDIC,2026-04-03,0
CUST-000348,54,113,11,125.29,7,121,EE,2026-04-15,1
CUST-000349,23,31,5,74.13,0,109,NORDIC,2026-04-07,0
CUST-000350,63,111,8,139.1,5,69,BENELUX,2026-03-25,0
CUST-000351,60,44,11,176.26,0,88,IBERIA,2026-04-20,0
CUST-000352,64,24,7,217.26,7,7,IBERIA,2026-04-11,0
CUST-000353,48,56,2,164.57,7,15,EE,2026-03-31,0
CUST-000354,29,16,4,222.51,2,153,IBERIA,2026-03-23,1
CUST-000355,25,13,3,59.08,3,145,IBERIA,2026-04-13,1
CUST-000356,61,47,2,179.47,8,76,BENELUX,2026-03-23,0
CUST-000357,44,117,9,119.78,3,127,NORDIC,2026-03-23,1
CUST-000358,49,89,10,30.54,8,2,DACH,2026-04-01,0
CUST-000359,41,103,2,223.31,6,164,IBERIA,2026-04-13,1
CUST-000360,47,6,9,63.17,7,9,EE,2026-03-31,0
CUST-000361,51,83,12,78.19,4,112,BENELUX,2026-03-27,1
CUST-000362,51,2,6,123.67,3,65,IBERIA,2026-03-23,0
CUST-000363,36,111,12,174.42,5,168,NORDIC,2026-03-24,1
CUST-000364,29,34,9,28.57,2,122,DACH,2026-04-15,0
CUST-000365,70,16,9,72.54,7,141,IBERIA,2026-03-27,1
CUST-000366,45,33,8,189.88,3,21,NORDIC,2026-03-29,0
CUST-000367,34,80,5,223.85,8,68,EE,2026-04-04,0
CUST-000368,31,85,1,61.98,5,150,BENELUX,2026-04-01,1
CUST-000369,41,5,7,16.19,7,160,NORDIC,2026-04-17,1
CUST-000370,65,55,6,52.35,0,31,DACH,2026-03-24,0
CUST-000371,30,17,4,20.01,6,97,EE,2026-03-26,1
CUST-000372,40,115,7,97.86,2,62,DACH,2026-04-14,0
CUST-000373,59,4,10,42.57,7,152,NORDIC,2026-04-13,1
CUST-000374,61,104,8,63.99,0,46,BENELUX,2026-04-21,0
CUST-000375,56,16,6,65.52,2,160,EE,2026-03-23,1
CUST-000376,36,42,3,62.11,0,5,EE,2026-04-17,0
CUST-000377,72,90,7,234.31,0,177,BENELUX,2026-03-27,1
CUST-000378,51,117,2,198.71,0,77,DACH,2026-04-03,0
CUST-000379,37,31,9,82.65,0,88,IBERIA,2026-04-15,0
CUST-000380,46,118,8,155.99,8,91,BENELUX,2026-04-03,1
CUST-000381,35,104,12,92.43,8,38,NORDIC,2026-04-14,0
CUST-000382,72,68,2,140.9,1,95,IBERIA,2026-04-17,0
CUST-000383,26,111,7,233.96,3,131,BENELUX,2026-04-03,1
CUST-000384,39,46,3,219.63,1,129,NORDIC,2026-04-01,0
CUST-000385,68,60,9,170.42,6,135,DACH,2026-04-11,1
CUST-000386,20,116,4,27.6,5,151,EE,2026-04-18,1
CUST-000387,39,74,5,76.52,6,158,EE,2026-04-07,1
CUST-000388,69,50,6,18.5,1,172,NORDIC,2026-04-05,1
CUST-000389,65,71,2,222.91,4,149,NORDIC,2026-03-29,1
CUST-000390,26,4,11,74.99,8,146,IBERIA,2026-03-30,1
CUST-000391,39,38,1,119.25,0,60,IBERIA,2026-04-02,0
CUST-000392,68,120,6,156.31,5,88,BENELUX,2026-04-10,0
CUST-000393,50,111,2,216.81,5,130,EE,2026-03-28,1
CUST-000394,27,92,8,118.08,2,169,NORDIC,2026-04-12,1
CUST-000395,49,58,8,78.8,7,160,EE,2026-03-25,1
CUST-000396,63,24,2,44.65,5,72,EE,2026-04-07,0
